combination_number,pop_size,gen_count,mut_rate,sharpe_ratio,best_portfolio_weights
16,50,200,0.01,0.12587462855497855,"[0.0134261970075477, 0.04341505002581466, 0.07070796603121036, 0.08212723379451822, 0.04515585449091011, 0.0, 0.049417549214135374, 0.030811995148957213, 0.06782376478365137, 0.04137845414654216, 0.04690480006579192, 0.025047262328602254, 0.061607498524503854, 0.03282899024477253, 0.04997945280495128, 0.06395970996880673, 0.0521160879257738, 0.06995975353011215, 0.05168573985477067, 0.10164664010862737]"
17,50,200,0.05,0.17422970700945567,"[0.0, 0.16927263155607433, 0.042571705450812965, 0.0, 0.0, 0.0633311843220587, 0.09604187551929008, 0.0030442428399893645, 0.10678113896748974, 0.0, 0.09014746951641092, 0.0, 0.04450890285404847, 0.0, 0.11185210929001474, 0.14471655530800231, 0.003341291213684477, 0.0, 0.013415765306054215, 0.11097512785606972]"
18,50,200,0.1,0.194843026099451,"[0.0, 0.004280231267355192, 0.0, 0.15315740738217323, 0.0, 0.0124120610440747, 0.0, 0.0, 0.08486921497918305, 0.0, 0.08281056231167121, 0.055543031332354026, 0.0, 0.0, 0.1576151857526863, 0.21952348991899379, 0.0, 0.011883038749649508, 0.0, 0.21790577726185922]"
19,100,50,0.01,0.1275061925020769,"[0.014199795522057627, 0.05010330568274741, 0.03706647314776789, 0.04234884122866659, 0.05354118337494829, 0.03470289102049741, 0.02816997643867335, 0.05732002094221013, 0.045599778034767835, 0.05400652040328442, 0.07593959182861505, 0.03667537647629137, 0.05842319267028982, 0.04565922886394172, 0.09031762566239031, 0.07963729913604692, 0.014084973552083007, 0.021591370025806834, 0.07417239109077398, 0.08644016489814009]"
20,100,50,0.05,0.158934388294307,"[0.0, 0.07225958839488669, 0.029923358386035676, 0.08998917597169924, 0.06323037316953518, 0.0016501530933581907, 0.0, 0.10421898920097793, 0.0560925517623862, 0.0, 0.050317245245068414, 0.011707734850895497, 0.08362695862241004, 0.0, 0.12194225246509213, 0.07583099318422294, 0.0005789439965102348, 0.0, 0.06358767371138221, 0.1750440079455395]"
21,100,50,0.1,0.19068564273980243,"[0.0, 0.0, 0.0, 0.048905883376300904, 0.09265399628134252, 0.0, 0.0, 0.010787406842057732, 0.2344225533510908, 0.0, 0.0319566409671226, 0.037916467006585214, 0.0, 0.0, 0.31306206733815367, 0.10758563112517475, 0.0, 0.07848222928770948, 0.0, 0.04422712442446238]"
22,100,100,0.01,0.11702089739589969,"[0.026092038861073644, 0.07153702385087841, 0.06766938010793419, 0.05606506341238567, 0.09037457867355751, 0.028527212899566945, 0.050424660511911426, 0.046802433251889486, 0.042107272761416036, 0.024094944684482728, 0.03893764822485884, 0.047623408519692635, 0.03335888028692737, 0.026983370422102325, 0.05680634634049245, 0.08191934023456347, 0.0015146464715469928, 0.09853468058905056, 0.04587885881920974, 0.06474821107645967]"
23,100,100,0.05,0.17919106829516257,"[0.0027230798188199058, 0.0, 0.0, 0.04557184719041744, 0.0, 0.0, 0.053031345394548735, 0.0, 0.1244567176389854, 0.027019975075156254, 0.11968041029178274, 0.0, 0.029928938740507015, 0.06744964055041526, 0.13318542988152218, 0.1478159640092411, 0.0321628592268628, 0.0, 0.0, 0.21697379218174112]"
24,100,100,0.1,0.2012058657072221,"[0.0, 0.08277603630967725, 0.0, 0.09290199192167074, 0.0, 0.0, 0.010671927329440655, 0.0, 0.17035142629924968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2951345648972802, 0.01323913531540048, 0.0, 0.061167815365995, 0.27375710256128605]"
25,100,200,0.01,0.12026158404776331,"[0.0008315355017571705, 0.05181095251231075, 0.08035753811280125, 0.034348284045636876, 0.028945994491996568, 0.029293345899485214, 0.07131054247234983, 0.06587441855036376, 0.04169717841363226, 0.04444612889883977, 0.05226553966099027, 0.04578821972805301, 0.05090665924635556, 0.020162044643642043, 0.06941894373867544, 0.08672611543461517, 0.03297213934432827, 0.07181853525839632, 0.05517031289767871, 0.06585557114809196]"
26,100,200,0.05,0.17696604892084825,"[0.0, 0.0, 0.05404741409993123, 0.036398964007650775, 0.0, 0.0, 0.0, 0.0053886636820757, 0.11568606487051143, 0.0, 0.0, 0.03629210779600824, 0.0, 0.06608873843406032, 0.33800984683252794, 0.017865600161685487, 0.04236979721606079, 0.09035059300114276, 0.036475788308879174, 0.16102642158946612]"
27,100,200,0.1,0.19513489709924928,"[0.0, 0.1397975632507219, 0.0, 0.006406547297380326, 0.03644965551889646, 0.032345669169667586, 0.0, 0.014572201610280097, 0.03448917977948121, 0.05305521664999987, 0.01807331145023993, 0.0, 0.0, 0.030746284182811345, 0.3117905957390195, 0.04192782498348577, 0.0, 0.04678251789078851, 0.0, 0.2335634324772275]"
