combination_number,generation,sharpe_ratio
1,1,0.15907145523747862
1,2,0.16432941283437555
1,3,0.16920077157530244
1,4,0.1731556773218628
1,5,0.1839291968148252
1,6,0.1839291968148252
1,7,0.1839291968148252
1,8,0.1839291968148252
1,9,0.19080453215085763
1,10,0.19080453215085763
1,11,0.19080453215085763
1,12,0.20153423557444744
1,13,0.20153423557444744
1,14,0.20153423557444744
1,15,0.20153423557444744
1,16,0.20153423557444744
1,17,0.20153423557444744
1,18,0.20364969191316346
1,19,0.20364969191316346
1,20,0.20364969191316346
1,21,0.20364969191316346
1,22,0.20364969191316346
1,23,0.20670183913114468
1,24,0.20670183913114468
1,25,0.20670183913114468
1,26,0.20670183913114468
1,27,0.20670183913114468
1,28,0.20670183913114468
1,29,0.20670183913114468
1,30,0.20670183913114468
1,31,0.21263257376555866
1,32,0.21314102578477828
1,33,0.21314102578477828
1,34,0.21314102578477828
1,35,0.21314102578477828
1,36,0.21314102578477828
1,37,0.21314102578477828
1,38,0.21314102578477828
1,39,0.21314102578477828
1,40,0.21314102578477828
1,41,0.21314102578477828
1,42,0.21314102578477828
1,43,0.21314102578477828
1,44,0.21314102578477828
1,45,0.21314102578477828
1,46,0.21314102578477828
1,47,0.21314102578477828
1,48,0.21314102578477828
1,49,0.2141898803255137
1,50,0.2141898803255137
2,1,0.14158399709542893
2,2,0.15352143725297707
2,3,0.15352143725297707
2,4,0.16290419614396262
2,5,0.16290419614396262
2,6,0.17604818937031452
2,7,0.17604818937031452
2,8,0.17604818937031452
2,9,0.1800513481448161
2,10,0.18114293843638082
2,11,0.1904741482560927
2,12,0.1904741482560927
2,13,0.1904741482560927
2,14,0.1904741482560927
2,15,0.19178970238424276
2,16,0.19178970238424276
2,17,0.19178970238424276
2,18,0.19178970238424276
2,19,0.19807103696187134
2,20,0.19807103696187134
2,21,0.19807103696187134
2,22,0.19807103696187134
2,23,0.20071471617713194
2,24,0.20071471617713194
2,25,0.20398750520990433
2,26,0.20398750520990433
2,27,0.20398750520990433
2,28,0.20398750520990433
2,29,0.20398750520990433
2,30,0.20784454080628537
2,31,0.20784454080628537
2,32,0.20784454080628537
2,33,0.20784454080628537
2,34,0.20784454080628537
2,35,0.20825534687873426
2,36,0.20825534687873426
2,37,0.20825534687873426
2,38,0.2083359806378832
2,39,0.2083359806378832
2,40,0.2083359806378832
2,41,0.2083359806378832
2,42,0.2083359806378832
2,43,0.20906934620371498
2,44,0.20906934620371498
2,45,0.213283991643399
2,46,0.213283991643399
2,47,0.213283991643399
2,48,0.213283991643399
2,49,0.213283991643399
2,50,0.213283991643399
2,51,0.213283991643399
2,52,0.213283991643399
2,53,0.213283991643399
2,54,0.213283991643399
2,55,0.213283991643399
2,56,0.213283991643399
2,57,0.213283991643399
2,58,0.213283991643399
2,59,0.213283991643399
2,60,0.213283991643399
2,61,0.213283991643399
2,62,0.213283991643399
2,63,0.213283991643399
2,64,0.213283991643399
2,65,0.213283991643399
2,66,0.213283991643399
2,67,0.213283991643399
