combination_number,pop_size,gen_count,initial_mutation_rate,alpha,sharpe_ratio,best_portfolio_weights
11,20,50,0.01,0.3,0.21572912826660978,"[0.0, 0.004549658401748176, 0.004813040478560982, 0.015737947359502975, 0.0, 0.004172965181687339, 0.0, 0.0, 0.004777548133892244, 0.0001259863403573631, 0.0, 0.0, 0.004306015456336815, 0.007439354743363779, 0.14772876521563436, 0.4660389003447193, 0.0, 0.0008844247801786248, 0.0, 0.3394253935640179]"
12,20,50,0.01,0.5,0.2155326201656036,"[0.0, 0.006613717562876552, 0.012602632107202154, 0.04916225943095248, 0.0063707390109829206, 0.0, 0.0, 0.0, 0.0, 0.00011718538596736183, 0.034773060933285034, 0.0, 0.0, 0.016402591095904865, 0.31787311334657403, 0.20817553165012712, 0.005816017811234253, 0.0, 0.024220038318319113, 0.31787311334657403]"
13,20,50,0.05,0.1,0.23681548900815638,"[0.0, 0.038820714672874054, 0.02313413003004745, 0.0, 0.00026953084557178157, 0.0, 0.0, 0.0, 0.006589453640083836, 0.00479629380889281, 0.0, 0.0, 0.007122352908727575, 2.219756138224708e-05, 0.7469941279798596, 0.010672944801291545, 0.0006736029858185142, 0.044040952231992524, 0.004774294063285036, 0.11208940447017299]"
14,20,50,0.05,0.3,0.22016497409079985,"[0.0, 0.0, 0.0, 0.008471060975767533, 0.08726440224864722, 0.0, 0.0, 0.0, 0.0025982255564307873, 0.045497475860756975, 0.0, 0.0068582851562386, 0.0003126880793530815, 0.0, 0.7300610654687916, 0.1130802667397207, 0.0, 0.0058565299142935975, 0.0, 0.0]"
15,20,50,0.05,0.5,0.20903899182892363,"[0.0, 0.0011801231073118022, 0.0, 0.0, 0.001657845256742225, 0.0001857880040245261, 0.00841108190687564, 0.0, 0.17393290546073545, 0.005212066670075516, 0.008763452647709646, 0.057753439688791965, 0.006829796996194267, 0.0, 0.2500380590686032, 0.33296575614929663, 0.00043391736148046153, 0.0, 0.04184587757244929, 0.11078989010970933]"
16,20,50,0.1,0.1,0.19040288728291363,"[0.0, 0.0, 0.035623775627226135, 0.0, 0.023256168535494066, 0.0, 0.04615429215347876, 0.0, 0.01898967529887384, 0.0, 0.01975588319316595, 0.0, 0.05542898168552523, 0.0, 0.26605894317993617, 0.06360160307637207, 0.0, 0.19352287071842392, 0.0, 0.27760780653150396]"
17,20,50,0.1,0.3,0.20503989318114846,"[0.0, 0.0, 0.0013580791935591083, 0.0, 0.007030564511193848, 0.0, 0.0, 0.0, 0.16609831508327966, 0.0, 0.022698511190443107, 0.016343571916627605, 0.041549265993071606, 0.0, 0.09315821382739559, 0.21159921306190083, 0.0, 0.0, 0.05191496370214896, 0.3882493015203797]"
18,20,50,0.1,0.5,0.2050681303796379,"[0.02129540806243685, 0.007212918118042144, 0.0, 0.0, 0.049633628023169875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011742272597698663, 0.0, 0.0, 0.0, 0.0026634051988755542, 0.4253076837794841, 0.0, 0.0, 0.0, 0.4821446842202929]"
19,20,50,0.01,0.1,0.19923901669677582,"[0.0, 0.005139490097946427, 0.0, 0.0007607440955801861, 0.011223304838134907, 0.06122677035933121, 0.007421444310463539, 0.0, 0.018069631717294567, 0.03094731392564978, 0.03633526373787808, 0.0, 0.014336444988239426, 0.0, 0.346781766474788, 0.011701512028742561, 0.010620725737121252, 0.0, 0.0, 0.44543558768883]"
20,20,50,0.01,0.3,0.2060734003698867,"[0.0, 0.0, 0.0, 0.0012468200000787868, 0.0, 0.0, 0.0, 0.04205399409335599, 0.022217322001773274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.417237915847409, 0.517243948057383, 0.0, 0.0, 0.0, 0.0]"
