combination_number,generation,sharpe_ratio
1,1,0.15559195511016635
1,2,0.15559195511016635
1,3,0.15580600841394016
1,4,0.17978906237552575
1,5,0.1808370431278715
1,6,0.18731213999217727
1,7,0.18923716083307657
1,8,0.18923716083307657
1,9,0.20195441929824115
1,10,0.20195441929824115
1,11,0.20195441929824115
1,12,0.21177598172708528
1,13,0.21177598172708528
1,14,0.21177598172708528
1,15,0.21177598172708528
1,16,0.21177598172708528
1,17,0.21177598172708528
1,18,0.21177598172708528
1,19,0.21177598172708528
1,20,0.21177598172708528
1,21,0.21177598172708528
1,22,0.21177598172708528
1,23,0.21544733845021666
1,24,0.2156302156669021
1,25,0.2156302156669021
1,26,0.2156302156669021
1,27,0.2156302156669021
1,28,0.2156302156669021
1,29,0.2156302156669021
1,30,0.2156302156669021
1,31,0.2156302156669021
1,32,0.21854928826880027
1,33,0.21854928826880027
1,34,0.21854928826880027
1,35,0.21854928826880027
1,36,0.21854928826880027
1,37,0.21854928826880027
1,38,0.22110860466521245
1,39,0.2246340381527924
1,40,0.2246340381527924
1,41,0.2246340381527924
1,42,0.2246340381527924
1,43,0.2246340381527924
1,44,0.2246340381527924
1,45,0.2246340381527924
1,46,0.2246340381527924
1,47,0.2246340381527924
1,48,0.2246340381527924
1,49,0.2246340381527924
1,50,0.2246340381527924
2,1,0.15501969707109142
2,2,0.1708237988166941
2,3,0.1708237988166941
2,4,0.181727855940659
2,5,0.181727855940659
2,6,0.181727855940659
2,7,0.18426558805978407
2,8,0.18515847133825095
2,9,0.18515847133825095
2,10,0.21073314793511225
2,11,0.21073314793511225
2,12,0.21073314793511225
2,13,0.21073314793511225
2,14,0.21073314793511225
2,15,0.21073314793511225
2,16,0.21073314793511225
2,17,0.21073314793511225
2,18,0.21073314793511225
2,19,0.21073314793511225
2,20,0.21073314793511225
2,21,0.21073314793511225
2,22,0.21073314793511225
2,23,0.21073314793511225
2,24,0.21073314793511225
2,25,0.21073314793511225
2,26,0.21073314793511225
2,27,0.21073314793511225
2,28,0.21073314793511225
2,29,0.23584475044317849
2,30,0.23584475044317849
2,31,0.23584475044317849
2,32,0.23584475044317849
2,33,0.23584475044317849
2,34,0.23584475044317849
2,35,0.23584475044317849
2,36,0.23584475044317849
2,37,0.23584475044317849
2,38,0.23584475044317849
2,39,0.23584475044317849
2,40,0.23584475044317849
2,41,0.23584475044317849
2,42,0.23584475044317849
2,43,0.23584475044317849
2,44,0.23584475044317849
2,45,0.23584475044317849
2,46,0.23584475044317849
2,47,0.23584475044317849
2,48,0.23584475044317849
2,49,0.23584475044317849
2,50,0.23584475044317849
2,51,0.23584475044317849
2,52,0.23584475044317849
2,53,0.23584475044317849
2,54,0.23584475044317849
2,55,0.23584475044317849
2,56,0.23584475044317849
2,57,0.23584475044317849
2,58,0.23584475044317849
2,59,0.23584475044317849
2,60,0.23584475044317849
2,61,0.23584475044317849
2,62,0.23584475044317849
2,63,0.23584475044317849
2,64,0.23584475044317849
2,65,0.23584475044317849
2,66,0.23584475044317849
2,67,0.23584475044317849
2,68,0.23584475044317849
2,69,0.23584475044317849
2,70,0.23584475044317849
2,71,0.23584475044317849
2,72,0.23584475044317849
2,73,0.23584475044317849
2,74,0.23584475044317849
2,75,0.2365339666455945
2,76,0.2365339666455945
2,77,0.2365339666455945
2,78,0.2365339666455945
2,79,0.2365339666455945
2,80,0.2365339666455945
2,81,0.2365339666455945
2,82,0.2365339666455945
2,83,0.2365339666455945
2,84,0.2365339666455945
2,85,0.2365339666455945
2,86,0.2365339666455945
2,87,0.2365339666455945
2,88,0.2365339666455945
2,89,0.2365339666455945
2,90,0.23826867510589567
2,91,0.23826867510589567
2,92,0.23826867510589567
2,93,0.23826867510589567
2,94,0.24421190516744484
2,95,0.24421190516744484
2,96,0.24421190516744484
2,97,0.24421190516744484
2,98,0.24421190516744484
2,99,0.24421190516744484
