combination_number,pop_size,gen_count,initial_mutation_rate,alpha,sharpe_ratio,best_portfolio_weights
20,20,100,0.01,1.0,0.17578452275116424,"[0.0, 0.0, 0.0, 0.08865428081551882, 0.04159028840283223, 0.04982230964120313, 0.0, 0.0, 0.1447871937859078, 0.0, 0.0, 0.0, 0.03966231183664197, 0.03664643726612444, 0.1729767653501408, 0.16510164314264153, 0.0684597723282128, 0.0, 0.019322232080635555, 0.1729767653501408]"
21,20,100,0.05,0.1,0.1838835252288215,"[0.0, 0.07345261663825811, 0.0, 0.0, 0.0, 0.02139276340969144, 0.0, 0.0, 0.08428478122008991, 0.0, 0.3500162995561762, 0.017679103122539085, 0.0, 0.0, 0.36876655250155516, 0.08361730853277416, 0.0, 0.0007905750189161211, 0.0, 0.0]"
22,20,100,0.05,0.3,0.20030760364866482,"[0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666]"
23,20,100,0.05,0.5,0.17715058011675652,"[0.0, 0.14285714285714285, 0.0, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.0, 0.14285714285714285, 0.0, 0.14285714285714285]"
24,20,100,0.05,0.8,0.1862174515444906,"[0.0, 0.0, 0.25939846135973915, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014621460097801709, 0.0, 0.0, 0.2986594179497, 0.0, 0.12866124264305898, 0.0, 0.2986594179497]"
25,20,100,0.05,1.0,0.19585275214101175,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3045249724427282, 0.0, 0.0, 0.0, 0.34773751377863593, 0.34773751377863593, 0.0, 0.0, 0.0, 0.0]"
26,20,100,0.1,0.1,0.21559704867341806,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0]"
27,20,100,0.1,0.3,0.2023277362723202,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0, 0.2, 0.2]"
28,20,100,0.1,0.5,0.19006814582041717,"[0.0, 0.0, 0.00347250971039405, 0.0, 0.0, 0.06152144396406944, 0.0, 0.0, 0.0, 0.0005930141182324815, 0.0, 0.007540037633305425, 0.0, 0.0, 0.34757913686933933, 0.07418337183308982, 0.12290472533350894, 0.0, 0.00428840512979245, 0.377917355408268]"
29,20,100,0.1,0.8,0.19474116655687865,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12769616517257223, 0.0, 0.22038848576166242, 0.01000352076456214, 0.0, 0.0, 0.2804529600363495, 0.2060979191937946, 0.0, 0.0, 0.11742402842080343, 0.03793692065025567]"
