combination_number,pop_size_mu,pop_size_lambda,gen_count,sharpe_ratio,best_portfolio_weights
18,50,200,200,0.2493028731509953,"[0.0, 0.0, 1.7172049329605012e-09, 1.315607673719885e-09, 0.0, 0.0, 1.0352501028974855e-08, 0.0, 0.0, 3.280230669885407e-06, 2.5633764697462947e-08, 2.2534553894455146e-07, 0.0, 0.0, 0.8871530343757944, 0.02426617682303461, 1.775655765502909e-08, 0.0, 0.0028139396930528682, 0.08576328675627315]"
19,100,20,50,0.1966831000883105,"[0.0, 0.02518037758437083, 0.0, 0.009583735917958467, 0.054233801058643644, 0.03371140997567383, 0.0, 0.0, 0.03438215553277123, 0.0, 0.0, 0.0, 0.016099737311824073, 0.006944932946828311, 0.053150908433753606, 0.3738121924023448, 0.06967638284699067, 0.0, 0.010697809536348664, 0.31252655645249183]"
20,100,20,100,0.210929991529327,"[0.016438152211454143, 0.07920384587711253, 0.0, 0.05481240044937865, 0.019169675268268654, 0.03187174940394054, 0.0, 0.0, 0.12067234057213222, 0.0, 0.0, 0.00035707128681014886, 0.0, 0.0036855417764543644, 0.3956152801461904, 0.11003121604103949, 0.013481904146871698, 0.0, 0.01966835951859, 0.13499246330175707]"
21,100,20,200,0.23969709216798277,"[0.0001678472331804267, 0.0, 0.002171630482852177, 0.00042004971409504284, 0.025363661698640676, 0.0, 0.0, 0.0, 0.04050793994313125, 0.0013249589557733248, 0.0, 0.0, 0.0, 0.0010743113930230276, 0.6712723299856616, 0.13874510314010066, 0.00867278420725119, 0.0, 0.0, 0.11027938324629062]"
22,100,100,50,0.2392068294390882,"[0.0, 0.0, 0.0, 0.0, 0.02276514315372033, 0.0, 0.02989714273800328, 0.0, 0.03795397543473009, 0.0038768882156894518, 0.0, 0.0, 0.0, 0.0, 0.7744170047939982, 0.0, 0.0, 0.0, 0.0, 0.13108984566385862]"
23,100,100,100,0.2457207237673438,"[0.0006572427601339636, 0.005391310628373393, 0.0, 0.0, 0.0, 0.0008720523302134417, 0.0007822795639711749, 4.028927866343346e-06, 0.0, 0.0, 0.0020096301316079247, 0.0, 0.0008955191942101625, 0.001289358070357922, 0.8156100496364239, 0.07291383516977276, 0.0001851021070050855, 0.0021274542000141515, 0.03479833075312405, 0.06246380652692579]"
24,100,100,200,0.24796228850028895,"[0.0, 0.0, 2.1383893054790426e-05, 0.0004283319554157886, 0.0, 0.00014373851870835283, 0.0, 0.00010411034555178657, 0.0, 0.00011198662160144574, 0.00691274890109718, 0.001665068169566808, 1.3152789463532013e-05, 0.0, 0.8842339737915277, 0.017176570594799965, 7.033243405677433e-06, 0.0006000004016067132, 0.008150552251188834, 0.08043134852301131]"
25,100,200,50,0.24641385570866095,"[0.0, 0.0, 0.0, 0.0008007290416504904, 0.0007396079205456591, 0.0, 0.0, 0.0, 0.01345711720530398, 0.00044579522443320246, 0.0, 0.0010778203138320014, 0.0, 4.629282572155988e-06, 0.7717947198145826, 0.11268391537010432, 0.0018399935628337738, 0.0, 0.005726592719573397, 0.09142907954456847]"
26,100,200,100,0.2488259291454136,"[0.00012931253395327986, 0.0008714281331717791, 6.112411701654112e-05, 4.3393495722027354e-05, 0.0002179052963861558, 0.00044113700058888975, 0.0, 3.495348725968194e-05, 0.006964363420694836, 0.0001659871991322617, 0.00025367557429031086, 7.38208439101248e-05, 0.00011191150011433015, 3.444530974149098e-05, 0.9013000867765768, 0.012707012895714319, 0.0, 0.0, 0.0012121319254949062, 0.07537731049023227]"
27,100,200,200,0.24930488358041497,"[0.0, 0.0, 0.0, 3.1150580796357023e-07, 0.0, 6.056375541407498e-08, 3.088102477448585e-07, 0.0, 7.308487335661477e-07, 0.0, 0.0, 0.0, 2.675860141002063e-07, 1.454689647041495e-07, 0.8898462381590616, 0.02325308929641806, 4.361856247866712e-08, 0.0, 0.0013740745144900088, 0.08552472962794444]"
