mu,lambda,generations,mutation_rate,Asset_1,Asset_2,Asset_3,Asset_4,Asset_5,Asset_6,Asset_7,Asset_8,Asset_9,Asset_10,Asset_11,Asset_12,Asset_13,Asset_14,Asset_15,Asset_16,Asset_17,Asset_18,Asset_19,Asset_20
20,10,50,0.01,0.013245437878744373,0.08645753983580244,0.032663138915173126,0.06847992339208357,0.0,0.11429299255307557,0.0702481467980949,0.06237924225993635,0.04849375093899596,0.06228144624543985,0.06263359141292547,0.031142351735523554,0.0,0.0371909549819772,0.13513378888355987,0.034486454041697805,0.0024519900376151014,0.13434564069796456,0.0,0.004073609391390305
20,10,50,0.05,0.0,0.01510910585515392,0.0,0.25258936760892636,0.029074601584605255,0.08612270811280638,0.0,0.014349060540177155,0.0054146383267179,0.061991674915640164,0.030394599786900053,0.0,0.0,0.041389125883002524,0.3113743626736185,0.05149696096346379,0.0,0.0886320332008294,0.012061760548158593,0.0
20,10,50,0.1,0.0,0.06358232879313655,0.047575274014694004,0.19491014863977998,0.005504834251790436,0.18838822650958595,0.0,0.00587679103246199,0.14602781189310618,0.0,0.027067374306916952,0.0,0.0,0.0026727060897959298,0.14002488068701896,0.0,0.0,0.17836962378171298,0.0,0.0
20,10,100,0.01,0.0,0.10101585395784482,0.0067159912295304686,0.10275358121101644,0.09260287632244,0.0430627676518139,0.002612879188750382,0.0,0.08241270980444852,0.01110492738107665,0.13969019141079925,0.1059251067710264,0.0,0.0,0.17738428451704683,0.011562710903184292,0.0,0.11612981590076696,0.007026303750254987,0.0
20,10,100,0.05,0.0,0.1523912138105277,0.015673253412295376,0.16842936644124998,0.0004364366146208509,0.03363578589631203,0.01978714895673433,0.0,0.030666733573531984,0.03320934360256036,0.015506028712165058,0.11469557743834917,0.004812703578114531,0.0,0.20486154487092542,0.0,0.0,0.2058948630926133,0.0,0.0
20,10,100,0.1,0.0,0.051270222344098566,0.08137763934844153,0.14399418353983412,0.0,0.015539091784687266,0.013627196048380356,0.0,0.12859592329770816,0.0,0.1568487625652016,0.0,0.0,0.01500956535139912,0.23161084455508793,0.0,0.0,0.14299218549189793,0.0,0.01913438567326323
20,10,200,0.01,0.0,0.040957487884872745,0.062326140985013115,0.23830857969047664,0.0,0.05043771128187647,0.0,0.022448593592359557,0.07642749777682453,0.009631069446409575,0.05682166083105239,0.06650568941581103,0.0026610094231684523,0.013600894581372211,0.23466222298755127,0.0,0.0,0.12521144210321217,0.0,0.0
20,10,200,0.05,0.0,0.2120551763104073,0.0,0.2760949367940346,0.0,0.10875356637657252,0.0,0.0010797916895676249,0.0004490702225179438,0.0,0.02677846840828289,0.05095855120040451,0.0,0.0,0.32383043899821273,0.0,0.0,0.0,0.0,0.0
20,10,200,0.1,0.01212120385533738,0.0,0.005635464794358486,0.43993352935174557,0.0,0.0,0.03808858685796948,0.05400220562370257,0.04567770854204634,0.0,0.0,0.0,0.0,0.0,0.31516446451579067,0.0,0.0,0.0315648944224237,0.057811942036625916,0.0
20,100,50,0.01,0.0,0.020188833132148212,0.04415610929031213,0.24850267532051945,0.005906094525067811,0.052764970717625814,0.005591399475632028,0.021433669219015735,0.08269288345520512,0.013088299028923622,0.0,0.018557800835092442,0.0,0.0032796340378461086,0.4079877917112276,0.0,0.0,0.07584983925138394,0.0,0.0
